X,Y,OBJECTID,Id,CaseNumber,OccurredDate,OccurredMonth,OccurredYear,DateOfDeath,DateOfDeathMonth,DateOfDeathYear,DateDifference,CaseStatus,Address,Latitude,Longitude,Section,Beat,WeaponCategory,VictimCount,ArresteeCount
-77.578050765686598,43.173706580651654,182,54,01-193213,2001-06-12T04:00:00.000Z,6,2001,2001-06-12T04:00:00.000Z,6,2001,0,CLOSED,"140 HIGH ST, ROCHESTER, NY, 14609",43.173698,-77.578048,Clinton,267,Blunt Object,1,1
-77.635585783223334,43.159290575159936,181,55,01-193481,2001-06-13T04:00:00.000Z,6,2001,2001-06-13T04:00:00.000Z,6,2001,0,CLOSED,"565 JAY ST, ROCHESTER, NY, 14611",43.159282,-77.635583,Lake,291,Blunt Object,1,
-77.590619770455831,43.17575958031901,180,56,01-200550,2001-06-18T04:00:00.000Z,6,2001,2001-06-18T04:00:00.000Z,6,2001,0,OPEN,"540 PORTLAND AVE, ROCHESTER, NY, 14621",43.175751,-77.590617,Clinton,267,Firearm,1,
-77.637039783593679,43.160276575199219,179,57,01-217248,2001-06-29T04:00:00.000Z,6,2001,2001-06-29T04:00:00.000Z,6,2001,0,CLOSED,"185 WHITNEY ST, ROCHESTER, NY, 14606",43.160268,-77.637037,Lake,291,Firearm,1,1
-77.594344771065906,43.17224657929269,178,58,01-222919,2001-07-04T04:00:00.000Z,7,2001,2001-07-04T04:00:00.000Z,7,2001,0,CLOSED,"20 HOLLISTER ST, ROCHESTER, NY, 14605",43.172238,-77.594342,Clinton,277,Firearm,1,1
-77.629460784431799,43.194982581751468,177,59,01-227454,2001-07-07T04:00:00.000Z,7,2001,2001-07-07T04:00:00.000Z,7,2001,0,CLOSED,"95 RIDGE RD WEST, ROCHESTER, NY, 14615",43.194974,-77.629458,Lake,211,Knife/Cutting Instrument,1,1
-77.62495678170454,43.178009579380252,176,60,01-228915,2001-07-08T04:00:00.000Z,7,2001,2001-07-08T04:00:00.000Z,7,2001,0,CLOSED,"1218 ST PAUL ST, ROCHESTER, NY, 14621",43.178001,-77.624954,Clinton,247,Firearm,1,1
-77.595579771622312,43.179285580299563,174,62,01-272871,2001-08-08T04:00:00.000Z,8,2001,2001-08-08T04:00:00.000Z,8,2001,0,CLOSED,"111 HERALD ST, ROCHESTER, NY, 14621",43.179277,-77.595577,Clinton,257,Firearm,1,1
-77.600066773185702,43.174754579265489,175,61,01-273054,2001-08-08T04:00:00.000Z,8,2001,2001-08-08T04:00:00.000Z,8,2001,0,CLOSED,"14 DUDLEY ST, ROCHESTER, NY, 14605",43.174746,-77.600064,Clinton,277,Unknown,1,1
-77.630048782226538,43.172730577527382,173,63,01-281422,2001-08-13T04:00:00.000Z,8,2001,2001-08-14T04:00:00.000Z,8,2001,1,CLOSED,"124 FULTON AVE, ROCHESTER, NY, 14613",43.172722,-77.630046,Lake,271,Firearm,1,1
